,cell_id,CavN,GolgiPassiveCond,Golgi_H_CML,Golgi_KA,Golgi_KAHP,Golgi_KA_CML,Golgi_KC,Golgi_KCa_CML,Golgi_KDr_CML,Golgi_KV,Golgi_Kslow,Golgi_NaF_CML,Golgi_NaP,Golgi_NaR,Golgi_NaT,Golgi_hcn1f,Golgi_hcn1s,Golgi_hcn2f,Golgi_hcn2s,GranPassiveCond,Gran_CaHVA_98,Gran_H_98,Gran_KA_98,Gran_KCa_98,Gran_KDr_98,Gran_NaF_98,HCN,HCNolm,HCNsomap,H_STG,IL,IM,Ih,Im,Im_v2,KA_STG,KCaS,KCa_STG,K_P,K_Pst,K_T,K_Tst,Kd,KdShu2007,Kd_STG,Kdrfast,Kdrfastngf,Kdrp,Kv2like,Kv3_1,KvA,KvAngf,KvAolm,KvAproxp,KvCaB,KvGroup,Leak,LeakCond,LeakConductance,MFFastLeakCond,Na,NaTa_t,NaTs,NaTs2_t,NaV,Na_STG,Nap,Nap_Et2,Nav,Navaxonp,Navbis,Navcck,Navngf,Navp,SK,SK_E2,SKv3_1,StochKv_deterministic,ar__m00,ar__m00_25,ca,ca_boyle,cal,cat,cat_a,hd__vhalflmin73,it,k2,kChan,k_fast,k_slow,ka,ka_ib,kahp,kahp_deeppyr,kahp_slower,kamt,kap,kc,kc_fast,kca,kdr,kdr_fs,kdrmt,km,kv,leak_chan,na,na3,naChan,naf2__a0__b0__c0__d0__fastNa_shift0,naf2__a0__b0__c0__d0__fastNa_shiftmin2_5,naf__a0__b0__c0__d0__fastNa_shiftmin3_5,naf_tcr__sh_hmin7__sh_m_imin3__sh_m_rmin2_5,nap,napf__a0__b0__c0__d0__fastNa_shift0,napf_spinstell__a0__b0__c0__d0__shmin2_5,napf_tcr__a0__b0__c0__d0__fastNa_shift7,nax,nax__sh0,nax__sh10,nax__sh15,pas,passiveChan
0,AB_PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0
1,CA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0357143,0.0
2,Cell_329321704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558439097221,1.17797342465,0.0,0.0,0.0,0.0,7.37200245432,0.0,0.18783299591299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.371096986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.481980737,0.0,0.0,0.0,0.433224190871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25635025468399997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.125113784839,0.0
3,Cell_329322394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13836616122,0.0525179371944,0.0,0.0,0.0,0.0,14.6411208316,0.0,5.18722614856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.51163863100004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.747939268,0.0,0.0,0.0,0.950942037216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4808830102100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.62002975194,0.0
4,Cell_471081668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484490045791,0.0,0.00481046868501,0.0,0.0,0.0,0.0,0.0,17.9171634339,0.0,1.38991985282e-05,0.0,0.0,0.0,0.0,0.0,2.70826116507e-05,1173.62127538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.452259623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.152512459839999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0009454739498280001,0.0
5,Cell_471085845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203079129704,0.0,7.45333411325,0.0,0.0,0.0,0.0,0.0,18.5335243948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5970681092,803.200269361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3523660883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.618334293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0641992275534,0.0
6,Cell_471086533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361581950146,0.0,0.594159143471,0.0,0.0,0.0,0.0,0.0,0.493617918791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.750413329,1614.12314799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0391192843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.00262836746494,0.0
7,Cell_471087975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0482595208194,0.0539250711831,0.0,0.0,0.0,0.0,32.2044783378,0.0,1.6342605777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.086679305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.145039435,0.0,0.0,0.0,0.375779858934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.744348127139999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.10884697518,0.0
8,Cell_472299294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33122394864599997,0.0123991771122,0.0,0.0,0.0,0.0,37.0930769414,0.0,0.133210691901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7196780242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.28560346,0.0,0.0,0.0,1.01180857529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021526085099998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.199624728575,0.0
9,Cell_472299363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318855691297,0.0,0.258349218207,0.0,0.0,0.0,0.0,0.0,0.43316641392099997,0.0,0.0609556410273,0.0,0.0,0.0,0.0,0.0,191.281159496,253.419877633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.12280097559999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6137712434939999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.931795744914,0.0
10,Cell_472300877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0882111672601,7.4018324406,0.0,0.0,0.0,0.0,8.21773981549,0.0,0.00359240017667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.745180699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.94151565700002,0.0,0.0,0.0,1.38033939728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12198297523900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.014292232068600001,0.0
11,Cell_472304676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207395929575,0.0,0.232012811702,0.0,0.0,0.0,0.0,0.0,18.1460248448,0.0,0.0400587114266,0.0,0.0,0.0,0.0,0.0,211.796477307,589.1159712350001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33385199530001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.85664307934,0.0
12,Cell_472306460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054180811506,3.49240833513,0.0,0.0,0.0,0.0,2.22621625827,0.0,0.08182256736190001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.163608275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.840097479,0.0,0.0,0.0,0.32180759416399995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35960675110400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.004956044265340001,0.0
13,Cell_472306544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.913148750389999e-08,2.96174536452,0.0,0.0,0.0,0.0,4.1488632369200005,0.0,1.78105455297e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9256822932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.436142045,0.0,0.0,0.0,0.0007310235181469999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28769865035000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.000133608594672,0.0
14,Cell_472306616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536887606173,0.0,2.48420390778,0.0,0.0,0.0,0.0,0.0,58.7451321846,0.0,0.000232326986427,0.0,0.0,0.0,0.0,0.0,15.991680987499999,1040.45645747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4112460626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190133871395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.36310219173900005,0.0
15,Cell_472352327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887044777326,2.34754499503,0.0,0.0,0.0,0.0,0.286942336098,0.0,0.594379971664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.882249324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.410789624,0.0,0.0,0.0,0.577209476022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382436993319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0942914098359,0.0
