Cell_ID,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike,ClusterPath,Cluster,WasNoise
NMLCL000073,72.0216099998842,72.4000247633317,-0.6266505612482721,0.792911262792685,2.4716381527303857,0.7767152131210331,0.7767152131210331,-5.018208071305581e-14,2.064927869793323,2.0620032877986256,-4.20251171777442,-4.2160585701531765,1.4322688183780732,3.4678492053708774,3.5042069429307587,2.282397815065789,4.0155923524006765,4.442360331234491,0.0,0.0,2.8587926165321402,3.4875767532840225,0.0,0.0,3.6214662964985247,2.8796966758632023,0.0,0.0,-20.0,-20.0,-0.14843108794487958,-96.64789836838449,5.177775838451645,5.6053887909278775,2.108681105708865,4.6842259036870875,3.663373230944723,4.451863894533648,0.0,4.42324793786333,5.799909457150003,8.4780251457744,/,-1,False
NMLCL000087,84.288880001236,80.8812466595323,2.180006687445169,-2.3330073544070125,2.146751562966815,0.6996944006621268,0.6996944006621268,0.0,2.2163926623944312,2.238730007594416,-4.280392030937572,-4.235273592277321,-2.424851838949865,4.093040524138014,4.136403415844298,2.4316380710965992,3.3358203028111064,4.890403247433972,0.0,0.0,2.4987715241549378,4.211083753262203,0.0,0.0,5.869615852874433,4.135935813588425,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.2159153640275707,-82.6015798891552,3.1791303340432004,6.400769871844753,2.14676386158737,6.994468268915981,3.023929591143353,7.855117846144215,0.0,4.216192878969989,4.974371381565146,8.49985345135326,/,-1,False
NMLCL000088,84.454780001226,81.18157000435001,2.1443914126534187,-2.2949679581189844,2.2097532024343445,0.6881906924417446,0.6996944006621268,1.8492181179241067,2.2037639820777533,2.221399814918793,-4.299764437613129,-4.252320912221913,-2.4694523240211965,4.10963067120532,4.116764687011233,0.9843424174686948,3.3142861214788444,4.884151522451486,0.0,0.0,2.4796661716036783,4.2049181454506,0.0,0.0,5.877194871158121,4.135015064067928,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.21465449733855116,-82.6256449455452,3.1791303340432004,6.400062379108567,2.1464393033323543,7.008365682138453,3.023929591143353,7.876272734030766,0.0,4.216192878969989,4.968629272835456,8.499769104858155,/,-1,False
NMLCL000089,83.8383600011018,80.6242300097141,2.128327832921691,-2.2851816990453355,2.1284902258286733,0.6881906924417446,0.6996944006621268,1.8492181179241032,2.2313395271668237,2.2460662692786197,-4.263669570389679,-4.224129561979998,-2.307987976287039,4.109378381041863,4.133596645617701,1.9078751244931147,3.35368619450282,4.8959277137503,0.0,0.0,2.511931353945837,4.2151731399480274,0.0,0.0,5.869843411092943,4.138325802266745,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.21573867876659364,-82.6067555139648,3.1791303340432004,6.402412383181735,2.146682067755848,6.991675155145022,3.023929591143353,7.849193071545303,0.0,4.216192878969989,4.864244504112876,8.499961217078265,/,-1,False
NMLCL000090,84.5277066659884,80.7472399981993,2.2726253321312035,-2.4246448402835243,2.2250187810128232,0.7110672772027734,0.6996944006621268,-1.811048166372917,2.1727881244341534,2.193544937981492,-4.3337657648195576,-4.284413562502461,-2.5043246047944714,4.105085373270083,4.137885342378283,2.1754803674362435,3.3016483024043817,4.886761159303044,0.0,0.0,2.4777354061089545,4.203198708539229,0.0,0.0,5.899088296726706,4.138325802266745,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.21068587623809948,-82.7077451292693,3.1791303340432004,6.409164107736887,2.14514612205459,7.030063120811973,3.023929591143353,7.885411498845266,0.0,4.216192878969989,4.9546132461527,8.499740987778749,/,-1,False
NMLCL000091,84.4035800011462,81.3086399973162,2.095113397693117,-2.2452948257280863,2.1706327469574944,0.6881906924417446,0.6996944006621268,1.8492181179241,2.22638202072693,2.248499778226765,-4.2704143862317165,-4.221262366366124,-2.5014824969622143,4.09322185856399,4.1072511960858185,1.4605530330353769,3.3528809957420895,4.896271981640458,0.0,0.0,2.511931353945837,4.215853081490426,0.0,0.0,5.870298372240628,4.139793730443139,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.21565956922505736,-82.6011978914594,3.1791303340432004,6.402755823464051,2.146749358550617,6.99138983300821,3.023929591143353,7.849193188381753,0.0,4.216192878969989,4.9548788858673465,8.499994013037403,/,-1,False
NMLCL000092,75.3183120011981,73.0338266648379,1.83421559474434,-2.077438002120508,2.110079269406436,0.7660688243043056,0.7767152131210331,1.7236893861266205,2.46802526176455,2.519374225686195,-3.8883894109369135,-3.813723593054592,-2.8855053782575397,3.9494359967727526,3.9637616164863037,1.4787824217329737,3.618691393673132,4.945632144857985,0.0,0.0,2.687873394809825,4.256805171602624,0.0,0.0,4.951512180556025,4.102813752586129,0.0,0.0,-50.0,-50.0,-0.2611517304798349,-86.42949271186409,5.781603701539423,6.208473862861007,2.03987761184914,5.115110339580191,3.1791303340432004,6.7324185095936695,0.0,4.216192878969989,4.832432177733068,8.459283171141513,/,-1,False
NMLCL000093,74.1321933325833,74.03442600695479,0.2030368210090524,-0.26518372199704315,1.0029371169092016,0.8079907446441833,0.8079907446441833,-4.729550084903055e-14,2.2088346082327903,2.2188993726003896,-4.123202224933244,-4.1074826541570415,-1.5369474802284564,3.787997239051081,3.7703270203219375,-1.6344049966802263,4.131508463670995,5.307204815911066,0.0,0.0,3.0272818138347986,4.474096925109273,0.0,0.0,5.114293367170724,4.279702532914197,0.0,0.0,-50.0,-50.0,-0.1725247424763055,-79.98653555844291,6.102689036314459,6.26652786831048,2.1038478027608534,4.458896457286927,3.1300252667121877,6.765079201747277,0.0,4.216192878969989,5.799909457150003,8.474412416925965,/,-1,False
NMLCL000094,76.41196600187841,75.2653000027889,1.2920649776609021,-1.4941041708591327,1.7175776101844982,0.7110672772027734,0.6996944006621268,-1.8110481663729243,1.8508178533696773,1.858026924584596,-4.5828028054681775,-4.563901959591914,-1.6781711403897877,3.9233823704067383,3.9287739563789668,0.8197458286862391,3.8580748616234284,5.105466729927032,0.0,0.0,2.6380982555650383,4.275228866524453,0.0,0.0,4.879174371615977,4.1248304677420755,0.0,0.0,-25.0,-50.0,-0.2307649810200128,-80.1817222551006,6.103038305849148,6.061843046585588,2.1178303912064385,3.9480227207909726,3.3134485510022165,6.282108974733124,0.0,4.216192878969989,4.496416678794669,8.462347819601453,/,-1,False
NMLCL000095,72.27023000064341,70.7726133323812,1.4925421601457218,-1.7529357644808743,1.906358820298792,0.8383177092574539,0.8482257012382937,1.6173312394051618,2.8481744024913374,2.9639643905392585,-3.4172630218955518,-3.287458530841232,-3.4005523639795783,3.755646006628477,3.7778602644983,1.839931862271904,3.827977807884615,5.08030080504389,0.0,0.0,2.8899870894763087,4.361988552835453,0.0,0.0,5.014620326297544,4.181628374320142,0.0,0.0,-33.3333333333333,-66.6666666666667,-1.1947054951603389,-85.777266831367,5.891823317555268,6.279623837860494,1.9948419844883905,4.943914088616829,3.078383806052082,6.84429058053465,0.0,4.216192878969989,5.799909457150003,8.453115733487357,/,-1,False
