,Model_ID,Name,Publication
5,NMLCL000073,Layer 5b Pyramidal cell ,"Hay, et. al. (2011)"
8,NMLCL000087,Layer 2/3 Burst Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
9,NMLCL000088,Layer 2/3 Burst Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
10,NMLCL000089,Layer 2/3 Burst Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
11,NMLCL000090,Layer 2/3 Burst Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
12,NMLCL000091,Layer 2/3 Burst Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
13,NMLCL000092,Layer 2/3 Burst Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
14,NMLCL000093,Layer 2/3 Burst Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
15,NMLCL000094,Layer 2/3 Burst Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
16,NMLCL000095,Layer 2/3 Burst Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
17,NMLCL000096,Layer 2/3 Burst Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
18,NMLCL000097,Layer 2/3 Burst Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
19,NMLCL000098,Layer 2/3 Burst Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
20,NMLCL000099,Layer 2/3 Burst Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
21,NMLCL000100,Layer 2/3 Burst Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
22,NMLCL000101,Layer 2/3 Burst Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
23,NMLCL000102,Layer 2/3 Burst Accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
24,NMLCL000103,Layer 2/3 Burst Accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
25,NMLCL000104,Layer 2/3 Burst Accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
26,NMLCL000105,Layer 2/3 Burst Accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
27,NMLCL000106,Layer 2/3 Burst Accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
28,NMLCL000107,Layer 2/3 Burst Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
29,NMLCL000108,Layer 2/3 Burst Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
30,NMLCL000109,Layer 2/3 Burst Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
31,NMLCL000110,Layer 2/3 Burst Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
32,NMLCL000111,Layer 2/3 Burst Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
33,NMLCL000112,Layer 2/3 Burst Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
34,NMLCL000113,Layer 2/3 Burst Accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
35,NMLCL000114,Layer 2/3 Burst Accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
36,NMLCL000115,Layer 2/3 Burst Accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
37,NMLCL000116,Layer 2/3 Burst Accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
38,NMLCL000117,Layer 4 Burst Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
