,Model_ID,Model_Name,Filename
5,NMLCL000073,Layer 5b Pyramidal cell ,L5PC
8,NMLCL000087,Layer 2/3 Burst Accommodating Bipolar Cell (1),bAC217_L23_BP_2004171a4c_0_0
9,NMLCL000088,Layer 2/3 Burst Accommodating Bipolar Cell (2),bAC217_L23_BP_2f6bdee09f_0_0
10,NMLCL000089,Layer 2/3 Burst Accommodating Bipolar Cell (3),bAC217_L23_BP_4652c9a7e1_0_0
11,NMLCL000090,Layer 2/3 Burst Accommodating Bipolar Cell (4),bAC217_L23_BP_472b717f1f_0_0
12,NMLCL000091,Layer 2/3 Burst Accommodating Bipolar Cell (5),bAC217_L23_BP_ca85cefc69_0_0
13,NMLCL000092,Layer 2/3 Burst Accommodating Bitufted Cell (1),bAC217_L23_BTC_65225ca4f8_0_0
14,NMLCL000093,Layer 2/3 Burst Accommodating Bitufted Cell (2),bAC217_L23_BTC_9ad0430657_0_0
15,NMLCL000094,Layer 2/3 Burst Accommodating Bitufted Cell (3),bAC217_L23_BTC_d9b97f1242_0_0
16,NMLCL000095,Layer 2/3 Burst Accommodating Bitufted Cell (4),bAC217_L23_BTC_e561810e0d_0_0
17,NMLCL000096,Layer 2/3 Burst Accommodating Bitufted Cell (5),bAC217_L23_BTC_e5d9eb2ec3_0_0
18,NMLCL000097,Layer 2/3 Burst Accommodating Double Bouquet Cell (1),bAC217_L23_DBC_393cc5cca5_0_0
19,NMLCL000098,Layer 2/3 Burst Accommodating Double Bouquet Cell (2),bAC217_L23_DBC_3f985b6ce2_0_0
20,NMLCL000099,Layer 2/3 Burst Accommodating Double Bouquet Cell (3),bAC217_L23_DBC_55c1d16c8c_0_0
21,NMLCL000100,Layer 2/3 Burst Accommodating Double Bouquet Cell (4),bAC217_L23_DBC_d6bea44209_0_0
22,NMLCL000101,Layer 2/3 Burst Accommodating Double Bouquet Cell (5),bAC217_L23_DBC_e5ab405051_0_0
23,NMLCL000102,Layer 2/3 Burst Accommodating Large Basket Cell (1),bAC217_L23_LBC_361cffb4c6_0_0
24,NMLCL000103,Layer 2/3 Burst Accommodating Large Basket Cell (2),bAC217_L23_LBC_4738b5c12c_0_0
25,NMLCL000104,Layer 2/3 Burst Accommodating Large Basket Cell (3),bAC217_L23_LBC_72e65525d3_0_0
26,NMLCL000105,Layer 2/3 Burst Accommodating Large Basket Cell (4),bAC217_L23_LBC_aebca8458d_0_0
27,NMLCL000106,Layer 2/3 Burst Accommodating Large Basket Cell (5),bAC217_L23_LBC_c5ee2b20c2_0_0
28,NMLCL000107,Layer 2/3 Burst Accommodating Martinotti Cell (1),bAC217_L23_MC_1490f15199_0_0
29,NMLCL000108,Layer 2/3 Burst Accommodating Martinotti Cell (2),bAC217_L23_MC_31f333a601_0_0
30,NMLCL000109,Layer 2/3 Burst Accommodating Martinotti Cell (3),bAC217_L23_MC_40be3bf0e8_0_0
31,NMLCL000110,Layer 2/3 Burst Accommodating Martinotti Cell (4),bAC217_L23_MC_44b474bb8f_0_0
32,NMLCL000111,Layer 2/3 Burst Accommodating Martinotti Cell (5),bAC217_L23_MC_464f0bd828_0_0
33,NMLCL000112,Layer 2/3 Burst Accommodating Nest Basket Cell (1),bAC217_L23_NBC_421c200e4e_0_0
34,NMLCL000113,Layer 2/3 Burst Accommodating Nest Basket Cell (2),bAC217_L23_NBC_55cf872277_0_0
35,NMLCL000114,Layer 2/3 Burst Accommodating Nest Basket Cell (3),bAC217_L23_NBC_711b6a838e_0_0
36,NMLCL000115,Layer 2/3 Burst Accommodating Nest Basket Cell (4),bAC217_L23_NBC_da24c6bffc_0_0
37,NMLCL000116,Layer 2/3 Burst Accommodating Nest Basket Cell (5),bAC217_L23_NBC_dc5e34b933_0_0
