,Model_ID,Cluster_HDB,Cluster_AGG,Model_Name
0,NMLCH000010,-1,2,KCa Calcium Dependent Potassium
1,NMLCH000021,0,1,KCa Calcium Dependent Potassium
2,NMLCH000091,0,1,KCa SK Type AHP Calcium Dependent Potassium
3,NMLCH000092,-1,2,KCa BK Type Calcium Dependent Potassium
4,NMLCH000112,1,1,KCa SK Type Calcium Dependent Potassium
5,NMLCH000149,2,1,KCa Slow AHP Type Calcium Dependent Potassium
6,NMLCH000150,2,1,KCa Slow AHP Type Calcium Dependent Potassium
7,NMLCH000151,2,1,KCa AHP Type Calcium Dependent Potassium
8,NMLCH000152,0,1,KCa BK Type Fast Calcium Dependent Potassium
9,NMLCH000153,0,1,KCa BK Type Fast Calcium Dependent Potassium
10,NMLCH001397,1,1,KCa SK Type Calcium Dependent Potassium
11,NMLCH001487,1,1,KCa SK Type Calcium Dependent Potassium
12,NMLCH001572,-1,0,KCa Calcium Dependent Potassium
13,NMLCH001593,2,1,KCa Calcium Dependent Potassium
14,NMLCH001616,-1,0,KCa Calcium Dependent Potassium
15,NMLCH001639,0,1,KCa AHP Type Calcium Dependent Potassium
